tamanio,NP,gflops,total,comm,force,speedup,efficiency
4096,1,5.714,3.8202E+01,3.3962E-03,4.4191E+03,1.0,1.0
4096,2,11.370,1.9195E+01,3.6640E-02,2.2118E+03,1.9902057827559259,0.9951028913779629
4096,4,22.478,9.6946E+00,6.4773E-02,1.1068E+03,3.940544220493883,0.9851360551234708
4096,8,43.939,4.9619E+00,7.7762E-02,5.5479E+02,7.69906688969951,0.9623833612124387
4096,16,79.823,2.7284E+00,1.2475E-01,2.9031E+02,14.001612666764403,0.8751007916727752
4096,32,94.916,2.2937E+00,9.7114E-01,1.4174E+02,16.655185944107775,0.520474560753368
4096,64,3.141,6.9503E+01,6.8794E+01,6.7659E+01,0.5496453390501129,0.008588208422658014
