tamanio,NP,gflops,total,comm,force,speedup,efficiency
16384,1,5.709,7.9081E+02,1.5434E-02,3.8923E+04,1.0,1.0
16384,2,11.432,3.9488E+02,1.9567E-01,1.9401E+04,2.002659035656402,1.001329517828201
16384,4,22.751,1.9843E+02,2.5743E-01,9.6956E+03,3.9853348787985685,0.9963337196996421
16384,8,45.199,9.9871E+01,6.6961E-01,4.8589E+03,7.918314625867369,0.9897893282334211
16384,16,86.180,5.2372E+01,5.7146E-01,2.5030E+03,15.099862521958297,0.9437414076223936
16384,32,132.757,3.3993E+01,7.5060E+00,1.2538E+03,23.263907275027208,0.7269971023446002
16384,64,39.202,1.1515E+02,1.0005E+02,6.8394E+02,6.867650890143291,0.10730704515848892
