tamanio,NP,gflops,total,comm,force,speedup,efficiency
32768,1,5.724,3.5594E+03,4.2498E-02,1.2123E+05,1.0,1.0
32768,2,11.419,1.7843E+03,1.9895E-01,6.0697E+04,1.9948439163817744,0.9974219581908872
32768,4,22.820,8.9280E+02,1.1634E+00,3.0305E+04,3.986783154121864,0.996695788530466
32768,8,45.161,4.5111E+02,9.0034E-01,1.5243E+04,7.890315000775864,0.986289375096983
32768,16,86.970,2.3424E+02,1.4194E+00,7.8219E+03,15.195525956284152,0.9497203722677595
32768,32,142.027,1.4343E+02,2.4999E+01,3.9248E+03,24.81628669037161,0.7755089590741128
32768,64,176.602,1.1533E+02,4.8893E+01,2.1045E+03,30.86274169773693,0.4822303390271395
